Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
ADFA UHF Radio,90001,2018-11-30T06:19:40Z,2018-11-30T06:31:10Z,2018-11-30T06:25:30Z,2018-11-30T06:25:30Z,517,83
ADFA UHF Radio,90002,2018-11-30T06:20:10Z,2018-11-30T06:31:10Z,2018-11-30T06:25:40Z,2018-11-30T06:25:40Z,937,30
Stromlo Laser,90001,2018-11-30T06:23:00Z,2018-11-30T06:27:50Z,2018-11-30T06:25:20Z,2018-11-30T06:25:20Z,522,79
Stromlo Laser,90002,2018-11-30T06:24:00Z,2018-11-30T06:27:20Z,2018-11-30T06:25:40Z,2018-11-30T06:25:40Z,950,29
ADFA UHF Radio,90002,2018-11-30T07:54:20Z,2018-11-30T08:04:00Z,2018-11-30T07:59:10Z,2018-11-30T07:59:10Z,1471,14
ADFA UHF Radio,90001,2018-11-30T16:55:10Z,2018-11-30T17:05:40Z,2018-11-30T17:00:30Z,2018-11-30T17:00:30Z,1178,21
UNSW Falcon,90001,2018-11-30T16:59:20Z,2018-11-30T17:03:20Z,2018-11-30T17:00:30Z,2018-11-30T17:00:30Z,1178,21
Stromlo Laser,90001,2018-11-30T16:59:50Z,2018-11-30T17:01:00Z,2018-11-30T17:00:30Z,2018-11-30T17:00:30Z,1190,21
ADFA UHF Radio,90002,2018-11-30T18:28:40Z,2018-11-30T18:40:00Z,2018-11-30T18:34:20Z,2018-11-30T18:34:20Z,673,48
ADFA UHF Radio,90001,2018-11-30T18:29:00Z,2018-11-30T18:39:20Z,2018-11-30T18:34:10Z,2018-11-30T18:34:10Z,1240,20
Stromlo Laser,90002,2018-11-30T18:32:10Z,2018-11-30T18:36:40Z,2018-11-30T18:34:20Z,2018-11-30T18:34:20Z,664,49
Stromlo Laser,90001,2018-11-30T18:34:10Z,2018-11-30T18:34:10Z,2018-11-30T18:34:10Z,2018-11-30T18:34:10Z,1226,20
ADFA UHF Radio,90001,2018-12-01T06:00:50Z,2018-12-01T06:12:10Z,2018-12-01T06:06:30Z,2018-12-01T06:06:30Z,717,43
ADFA UHF Radio,90002,2018-12-01T06:01:40Z,2018-12-01T06:11:50Z,2018-12-01T06:06:50Z,2018-12-01T06:06:50Z,1336,17
Stromlo Laser,90001,2018-12-01T06:04:30Z,2018-12-01T06:08:40Z,2018-12-01T06:06:30Z,2018-12-01T06:06:30Z,728,43
ADFA UHF Radio,90002,2018-12-01T07:35:10Z,2018-12-01T07:45:40Z,2018-12-01T07:40:30Z,2018-12-01T07:40:30Z,1082,24
ADFA UHF Radio,90001,2018-12-01T07:35:30Z,2018-12-01T07:44:20Z,2018-12-01T07:40:00Z,2018-12-01T07:39:50Z,1725,10
Stromlo Laser,90002,2018-12-01T07:39:10Z,2018-12-01T07:41:40Z,2018-12-01T07:40:30Z,2018-12-01T07:40:30Z,1069,25
ADFA UHF Radio,90001,2018-12-01T16:37:00Z,2018-12-01T16:46:30Z,2018-12-01T16:41:40Z,2018-12-01T16:41:40Z,1567,13
UNSW Falcon,90001,2018-12-01T16:40:50Z,2018-12-01T16:43:20Z,2018-12-01T16:41:40Z,2018-12-01T16:41:40Z,1567,13
ADFA UHF Radio,90002,2018-12-01T18:09:40Z,2018-12-01T18:21:10Z,2018-12-01T18:15:30Z,2018-12-01T18:15:30Z,518,86
ADFA UHF Radio,90001,2018-12-01T18:09:40Z,2018-12-01T18:20:50Z,2018-12-01T18:15:10Z,2018-12-01T18:15:10Z,854,34
Stromlo Laser,90002,2018-12-01T18:13:00Z,2018-12-01T18:17:50Z,2018-12-01T18:15:40Z,2018-12-01T18:15:40Z,527,79
Stromlo Laser,90001,2018-12-01T18:13:10Z,2018-12-01T18:17:10Z,2018-12-01T18:15:10Z,2018-12-01T18:15:10Z,843,35
ADFA UHF Radio,90001,2018-12-02T05:42:10Z,2018-12-02T05:53:00Z,2018-12-02T05:47:40Z,2018-12-02T05:47:40Z,1075,24
ADFA UHF Radio,90002,2018-12-02T05:43:20Z,2018-12-02T05:52:10Z,2018-12-02T05:47:50Z,2018-12-02T05:47:40Z,1760,10
Stromlo Laser,90001,2018-12-02T05:46:30Z,2018-12-02T05:48:50Z,2018-12-02T05:47:40Z,2018-12-02T05:47:40Z,1089,24
ADFA UHF Radio,90002,2018-12-02T07:16:00Z,2018-12-02T07:27:10Z,2018-12-02T07:21:40Z,2018-12-02T07:21:40Z,731,42
ADFA UHF Radio,90001,2018-12-02T07:16:10Z,2018-12-02T07:26:10Z,2018-12-02T07:21:10Z,2018-12-02T07:21:10Z,1333,17
Stromlo Laser,90002,2018-12-02T07:19:30Z,2018-12-02T07:23:50Z,2018-12-02T07:21:40Z,2018-12-02T07:21:40Z,720,43
ADFA UHF Radio,90001,2018-12-02T17:50:30Z,2018-12-02T18:02:00Z,2018-12-02T17:56:10Z,2018-12-02T17:56:20Z,570,64
ADFA UHF Radio,90002,2018-12-02T17:51:00Z,2018-12-02T18:02:20Z,2018-12-02T17:56:40Z,2018-12-02T17:56:40Z,689,47
Stromlo Laser,90001,2018-12-02T17:53:50Z,2018-12-02T17:58:40Z,2018-12-02T17:56:20Z,2018-12-02T17:56:20Z,563,66
Stromlo Laser,90002,2018-12-02T17:54:30Z,2018-12-02T17:58:50Z,2018-12-02T17:56:40Z,2018-12-02T17:56:40Z,698,46
